page_num,student_id
26,135020
26,114503
40,130012
40,120076
41,130097
41,130117
42,130196
42,120323
43,124714
43,124596
44,104469
44,134824
45,134745
45,120578
46,124628
46,120682
47,114627
47,130802
48,130852
48,134835
49,134616
49,120951
50,131006
50,131010
51,131107
51,121079
52,124641
52,135018
53,131240
53,131284
54,124645
54,104499
55,124479
55,121417
56,131474
56,131516
57,121571
57,135032
58,134651
58,124777
59,131896
59,124736
60,132076
60,134660
61,132163
61,134982
62,134666
62,122197
63,132239
63,82163
64,132339
64,132357
65,132394
65,132432
66,134986
66,134891
67,134676
67,132526
68,122521
68,132583
69,132612
69,132628
70,132637
70,134893
71,132717
71,122669
72,102548
72,134896
73,124526
73,132932
74,132935
74,134579
75,122936
75,133112
76,134909
76,133178
77,134686
77,123144
78,134998
78,134916
79,134917
79,133403
80,133416
80,134922
81,134796
81,124549
82,123506
82,123531
83,134799
83,133671
84,114556
84,133752
85,133760
85,124695
86,133791
86,134709
87,113701
87,135029
88,134933
88,133980
89,134055
89,124571
90,123988
90,134936
91,134937
91,124776
92,124060
92,134286
93,134335
93,134942
94,124206
94,134381
95,124254
95,124588
96,134810
101,130118
101,120320
102,130362
102,130420
103,130429
103,130599
104,131375
104,131479
105,131913
105,132069
106,132312
106,134776
107,132438
107,132563
108,132633
108,102479
109,132691
109,134895
110,133257
110,133334
111,133737
111,134070
112,103838
112,134281
113,134485
113,134505
116,134856
116,122843
117,134231
122,130053
122,130330
123,130781
123,121299
124,114643
124,131406
125,91423
125,121581
126,121622
126,132075
127,112604
127,122798
128,133120
128,134910
129,133339
129,134700
130,123497
130,123525
131,134199
131,134379
132,124262
135,130052
135,130368
136,110793
136,111538
137,134873
137,122685
138,135026
143,124428
143,120123
144,134960
144,130589
145,134604
145,130763
146,120995
146,131023
147,121473
147,134859
148,131709
148,131717
149,131944
149,121989
150,134668
150,132328
151,132418
151,112364
152,122539
152,132835
153,132862
153,132983
154,133357
154,134714
155,133896
155,134251
156,134321
156,134946
157,124352
166,110087
166,134613
167,120321
167,120334
168,130452
168,124451
169,130717
169,130772
170,130826
170,124631
171,130902
171,124462
172,131126
172,134970
173,134757
173,131258
174,121260
174,131415
175,131487
175,131548
176,134974
176,131607
177,131864
177,124733
178,131958
178,121999
179,132030
179,132052
180,111990
180,134876
181,132181
181,124604
182,122241
182,132472
183,122544
183,134780
184,132742
184,132859
185,132892
185,132957
186,135039
186,133041
187,133064
187,133196
188,133242
188,133246
189,124541
189,123254
190,123269
190,123272
191,133510
191,133588
192,124550
192,133625
193,133775
193,134712
194,133851
194,134096
195,134121
195,134938
196,114048
196,134252
197,124218
197,135013
198,134732
198,114377
201,104508
201,123375
225,130020
225,134814
226,130087
226,130096
227,130147
227,134587
228,120336
228,130336
229,130446
229,130496
230,134748
230,134951
231,130660
231,130713
232,130824
232,134751
233,130915
233,134614
234,130986
234,130992
235,130997
235,131041
236,134838
236,131092
237,131110
237,134623
238,131125
238,121098
239,131144
239,121130
240,131184
240,131196
241,131207
241,131217
242,131248
242,131256
243,131265
243,131285
244,131392
244,131394
245,131412
245,134851
246,131456
246,134853
247,131469
247,134640
248,131501
248,131547
249,131565
249,131636
250,131699
250,135036
251,131766
251,131784
252,134766
252,131818
253,131837
253,131862
254,134869
254,132024
255,132029
255,124664
256,130892
256,122121
257,132169
257,122160
258,112153
258,132266
259,134772
259,132331
260,132369
260,132396
261,132425
261,132468
262,132493
262,132501
263,132645
263,122607
264,132695
264,132709
265,132787
265,134897
266,132804
266,132826
267,134902
267,132887
268,132894
268,132921
269,133029
269,134684
270,134685
270,133081
271,133136
271,133140
272,134995
272,133202
273,133227
273,133247
274,133317
274,133369
275,133430
275,133450
276,133480
276,133519
277,133580
277,123449
278,133620
278,133638
279,133682
279,133683
280,133708
280,133761
281,133823
281,133832
282,134803
282,133844
283,134716
283,133889
284,134804
284,133955
285,134023
285,134720
286,134065
286,134083
287,123980
287,134119
288,134156
288,124573
289,124774
289,134726
290,134727
290,134945
291,134416
291,134420
292,134455
292,124592
293,134733
